GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,OrderItem,40,29,0,0,4,10,8,6,8,6
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,Order,27,107,0,0,1,27,5,14,5,14
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,Customer,56,47,0,0,9,13,10,7,10,7
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,Category,0,27,0,0,0,5,0,1,0,1
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,Product,35,31,0,0,3,11,7,6,7,6
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.entity,OrderStatus,0,33,0,0,0,6,0,1,0,1
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,OrderFactory,33,0,2,0,6,0,3,0,2,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,StockValidator,0,20,0,2,0,6,0,3,0,2
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,LogNotificationService,29,0,0,0,7,0,3,0,3,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,ProductService,203,0,6,0,41,0,19,0,16,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,OrderService,164,178,0,2,34,36,19,8,19,7
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,CustomerService,137,0,8,0,27,0,13,0,9,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.service,PriceCalculator,0,27,0,4,0,6,0,5,0,3
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce,Sesion2Application,5,3,0,0,2,1,1,1,1,1
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.controller,OrderController,102,0,0,0,19,0,12,0,12,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.controller,CustomerController,34,0,0,0,7,0,6,0,6,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.controller,ProductController,131,0,2,0,26,0,12,0,11,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.controller,GlobalExceptionHandler,18,0,0,0,4,0,4,0,4,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.solid,LiskovDemo.SpecialOrderCorrect,25,0,0,0,6,0,5,0,5,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.solid,LiskovDemo,38,0,0,0,12,0,4,0,4,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.solid,LiskovDemo.SpecialOrderViolatingLSP,14,0,0,0,4,0,3,0,3,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.solid,LiskovDemo.Order,18,0,0,0,5,0,3,0,3,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.solid,SpringPatternsDemo,3,0,0,0,1,0,1,0,1,0
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.discount,NewCustomerDiscount,1,19,2,2,0,3,2,3,0,3
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.discount,NoDiscount,0,7,0,0,0,3,0,3,0,3
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.discount,VipDiscount,0,12,0,0,0,3,0,3,0,3
"Sesion 2 - Relaciones, Fetching, N+1 y JPQL",com.ecommerce.discount,DiscountStrategyFactory,28,0,0,0,5,0,3,0,3,0
